,Week,Week_Numer,Gross,Gross_Diff,Pot_Gross,Potential_Gross_Percent,Average_Paid_Ticket,Top_Ticket,Seats_Sold,Total_Seats,Performances,Capacity,Capacity_Diff,Show_Name
7,2/21/10,8,"$455,335","$455,335","$933,200",48.79%,$62.03,$200.00,7340,8568,8,85.7%,0.0%,A Behanding In Spokane
8,2/28/10,9,"$413,686","$-41,649","$933,200",44.33%,$60.16,$200.00,6876,8568,8,80.3%,80.3%,A Behanding In Spokane
9,3/07/10,10,"$432,187","$18,501","$933,200",46.31%,$55.95,$200.00,7725,8568,8,90.2%,9.9%,A Behanding In Spokane
10,3/14/10,11,"$554,397","$122,210","$940,690",58.94%,$74.69,$200.00,7423,8568,8,86.6%,-3.6%,A Behanding In Spokane
11,3/21/10,12,"$539,372","$-15,025","$940,690",57.34%,$77.34,$200.00,6974,8568,8,81.4%,-5.2%,A Behanding In Spokane
12,3/28/10,13,"$489,726","$-49,646","$940,690",52.06%,$78.78,$200.00,6216,8568,8,72.5%,-8.9%,A Behanding In Spokane
13,4/04/10,14,"$524,859","$35,133","$940,690",55.80%,$76.87,$200.00,6828,8568,8,79.7%,7.2%,A Behanding In Spokane
14,4/11/10,15,"$489,587","$-35,272","$940,690",52.05%,$75.74,$200.00,6464,8568,8,75.4%,-4.3%,A Behanding In Spokane
15,4/18/10,16,"$402,160","$-87,427","$940,690",42.75%,$75.52,$200.00,5325,8568,8,62.1%,-13.3%,A Behanding In Spokane
16,4/25/10,17,"$415,523","$13,363","$940,690",44.17%,$74.86,$200.00,5551,8568,8,64.8%,2.7%,A Behanding In Spokane
17,5/02/10,18,"$384,849","$-30,674","$940,690",40.91%,$69.40,$200.00,5545,8568,8,64.7%,-0.1%,A Behanding In Spokane
18,5/09/10,19,"$414,898","$30,049","$940,690",44.11%,$73.17,$200.00,5670,8568,8,66.2%,1.5%,A Behanding In Spokane
19,5/16/10,20,"$432,442","$17,544","$940,690",45.97%,$74.30,$200.00,5820,8568,8,67.9%,1.7%,A Behanding In Spokane
